time,TotalEnergy
247296.67509622,23.4891934053
254260.46957594,23.4633412373
261224.26405567,23.4353204419
268188.05853539,23.4054551334
275151.85301512,23.3723265114
282115.64749484,23.337003436
289079.44197456,23.2978599656
296043.23645429,23.2555323634
303007.03093401,23.2087251801
309970.82541373,23.1574644212
313026.03510156,23.1331170718
316190.54115148,23.1072210615
320207.52419304,23.0723472374
324853.17491381,23.029782053
329703.39264075,22.9814743749
334553.61036769,22.9296274837
339403.82809462,22.8739457713
344254.04582156,22.8137634792
349104.2635485,22.7485407905
353954.48127544,22.6777033397
358804.69900238,22.6004656547
363654.91672932,22.5152684203
368141.36812674,22.427467054
368920.3964568,22.4048816304
368957.71999955,22.3549654275
368987.18346407,22.0733752987
369027.89732073,21.8369112071
369081.07027295,21.6146417306
369146.60432934,21.4037167475
369225.89374323,21.2002216681
369319.4222143,21.00455392
369434.1738712,20.8062251874
369560.0841117,20.6240621392
369712.57051824,20.4372720737
369898.10170227,20.2448796682
370120.79650839,20.0492424347
370377.57271774,19.8568306827
370673.30495449,19.6668424478
371018.9422016,19.4752785955
371426.96153392,19.2795334316
371908.67818533,19.0785544153
372466.19470646,18.8753717651
373095.99605726,18.6721348098
373305.83591825,18.6089975089
373647.6429403,18.5103124823
374204.41056191,18.359061931
375033.70161791,18.1502738907
375995.82244211,17.9288492158
377067.21368875,17.7028584448
377418.9447013,17.6323280754
377991.87745772,17.5218021735
378925.12454615,17.3520717208
380222.5706968,17.1325110641
381677.63769596,16.9057847427
383214.27239325,16.6842235898
384933.11160326,16.4524383889
386772.77670665,16.2178835475
388790.67192227,15.9711784738
390971.99204188,15.7105166382
393250.98321163,15.438237273
395541.36933722,15.1584092689
397934.31006545,14.8533127849
400327.25079368,14.5262039935
402720.19152191,14.1669885628
405113.13225014,13.7608581679
407506.07297837,13.2804117478
409899.01370659,12.665427947
412291.95443482,11.6922858295
413204.26308746,10.6314257247
413241.83973483,10.1543116944
413293.68850333,10.0083011695
413378.14468373,9.9189758984
413515.71490218,9.8442736307
413739.80229182,9.785292588
414102.67322361,9.751342231
414668.93089664,9.7396234944
415591.30497762,9.7355369945
417093.755162,9.7312347358
419410.55743493,9.7251544575
422228.37625835,9.7182158536
423478.54082425,9.7153246523
425083.30172814,9.7117289705
427190.77960813,9.7072824819
429555.42205721,9.7023853481
430632.24686486,9.7002844313
432356.8238356,9.6969726363
434613.83474728,9.6927607767
436225.06860992,9.6899403117
437446.73698621,9.6878932216
439311.33848514,9.6848613094
441498.23600722,9.6814308325
444120.31505413,9.6776214383
445058.41091404,9.6762831381
446586.47021964,9.6741295339
448891.72019039,9.6709736981
450394.42594415,9.6689562221
451752.74562878,9.6672161135
453892.75941656,9.6645258724
456646.07284937,9.6613083769
457741.25203397,9.6600127307
459525.18352314,9.6581228779
461918.02116852,9.655675877
464849.07246427,9.6528771801
465922.38342263,9.6517958086
467660.42565777,9.6502608613
470126.07309424,9.6479984868
472887.4559536,9.6456598826
474166.02192714,9.6444715493
476224.78991278,9.6428732899
478939.93044258,9.6408549304
480994.460315,9.6393439032
482375.93243012,9.6384052723
484588.41395776,9.6369825662
487477.60785327,9.6352464472
490948.61748645,9.63324003
492370.19912322,9.6324662775
494590.22349067,9.6312841655
497639.88065843,9.6295907205
499009.20650595,9.6288340358
500787.31674511,9.6279952498
503545.95184705,9.6266771705
506820.0747065,9.6252464592
508922.55050475,9.6243826319
510503.14500813,9.6237161089
512992.69656546,9.6228612394
515873.63556571,9.6218479623
519177.72165386,9.6208263374
523002.61431165,9.6196772466
524601.23256512,9.6191505092
526677.08579622,9.6185370843
529575.16885086,9.6178238595
532735.5057927,9.6168164481
534181.31815395,9.6163283618
536262.34622502,9.6158613862
538538.25180523,9.615388987
540945.16562284,9.6148447326
544281.0597794,9.6140129941
548173.63066859,9.613275737
552163.51583001,9.612586381
556250.71526365,9.6120031222
560564.75426587,9.6114154962
565228.60644961,9.6108451572
570103.17688238,9.6102643722
574524.07915654,9.6097814912
576653.4179503,9.6095284974
579799.19684263,9.6092046068
583127.55757514,9.6089323017
586711.43590201,9.608603735
591099.32169413,9.6081432799
593673.59995999,9.6078240014
595896.97414461,9.607572921
598427.4541095,9.6074096365
601301.66814663,9.6072416204
604378.94703289,9.6070807444
607774.91697998,9.6068542409
611823.103638,9.6066510856
616737.2975231,9.6061977113
619518.76810376,9.6060633022
621934.76261558,9.6059315678
625661.55527333,9.6056429253
629903.11488978,9.6054748433
634144.67450624,9.6053289968
638386.23412269,9.6052024856
642843.05288968,9.6050879998
647612.89875636,9.6049839363
652523.03420736,9.6048942012
657433.16965836,9.6048196965
662588.81188191,9.6047554803
667744.45410546,9.6047034566
672900.096329,9.6046614494
679239.63122275,9.6044029869
686820.5903604,9.6043047544
690656.24897727,9.6042777526
694026.56128513,9.6042570899
698939.42275942,9.6042317348
703992.11858642,9.6042106038
709044.81441342,9.6041936041
714097.51024042,9.6041799839
719175.46954655,9.6041692015
724480.8001649,9.6041601807
729786.13078325,9.6041531119
735303.67462633,9.604147435
740874.2717756,9.6041429914
746444.86892487,9.6041395832
752015.46607414,9.6041369756
757641.7691949,9.6040949127
763754.10691693,9.6040549895
766061.2793504,9.6040536463
768977.22167506,9.604052167
773428.66150102,9.6040502913
779497.79327885,9.6038172341
787273.13531508,9.603674229
789936.27358367,9.6036693865
794000.95406801,9.6036629909
799112.1365374,9.6034359905
804730.00824091,9.6033224868
